=== 2026년 키움 경기 일정 ===

[2026.03.28 14:00] vs 한화 (원정) @대전
[2026.03.29 14:00] vs 한화 (원정) @대전
[2026.03.31 18:30] vs SSG (원정) @문학
[2026.04.01 18:30] vs SSG (원정) @문학
[2026.04.02 18:30] vs SSG (원정) @문학
[2026.04.03 18:30] vs LG (홈) @고척
[2026.04.04 17:00] vs LG (홈) @고척
[2026.04.05 14:00] vs LG (홈) @고척
[2026.04.07 18:30] vs 두산 (원정) @잠실
[2026.04.08 18:30] vs 두산 (원정) @잠실
[2026.04.09 18:30] vs 두산 (원정) @잠실
[2026.04.10 18:30] vs 롯데 (홈) @고척
[2026.04.11 17:00] vs 롯데 (홈) @고척
[2026.04.12 14:00] vs 롯데 (홈) @고척
[2026.04.14 18:30] vs KIA (원정) @광주
[2026.04.15 18:30] vs KIA (원정) @광주
[2026.04.16 18:30] vs KIA (원정) @광주
[2026.04.17 18:30] vs KT (원정) @수원
[2026.04.18 17:00] vs KT (원정) @수원
[2026.04.19 14:00] vs KT (원정) @수원
[2026.04.21 18:30] vs NC (홈) @고척
[2026.04.22 18:30] vs NC (홈) @고척
[2026.04.23 18:30] vs NC (홈) @고척
[2026.04.24 18:30] vs 삼성 (홈) @고척
[2026.04.25 17:00] vs 삼성 (홈) @고척
[2026.04.26 14:00] vs 삼성 (홈) @고척
[2026.04.28 18:30] vs 롯데 (원정) @사직
[2026.04.29 18:30] vs 롯데 (원정) @사직
[2026.04.30 18:30] vs 롯데 (원정) @사직
[2026.05.01 18:30] vs 두산 (홈) @고척
[2026.05.02 17:00] vs 두산 (홈) @고척
[2026.05.03 14:00] vs 두산 (홈) @고척
[2026.05.05 14:00] vs 삼성 (원정) @대구
[2026.05.06 18:30] vs 삼성 (원정) @대구
[2026.05.07 18:30] vs 삼성 (원정) @대구
[2026.05.08 18:30] vs KT (홈) @고척
[2026.05.09 17:00] vs KT (홈) @고척
[2026.05.10 14:00] vs KT (홈) @고척
[2026.05.12 18:30] vs 한화 (홈) @고척
[2026.05.13 18:30] vs 한화 (홈) @고척
[2026.05.14 18:30] vs 한화 (홈) @고척
[2026.05.15 18:30] vs NC (원정) @창원
[2026.05.16 17:00] vs NC (원정) @창원
[2026.05.17 14:00] vs NC (원정) @창원
[2026.05.19 18:30] vs SSG (홈) @고척
[2026.05.20 18:30] vs SSG (홈) @고척
[2026.05.21 18:30] vs SSG (홈) @고척
[2026.05.22 18:30] vs LG (원정) @잠실
[2026.05.23 17:00] vs LG (원정) @잠실
[2026.05.24 14:00] vs LG (원정) @잠실
[2026.05.26 18:30] vs KIA (홈) @고척
[2026.05.27 18:30] vs KIA (홈) @고척
[2026.05.28 18:30] vs KIA (홈) @고척
[2026.05.29 18:30] vs KT (홈) @고척
[2026.05.30 17:00] vs KT (홈) @고척
[2026.05.31 14:00] vs KT (홈) @고척
[2026.06.02 18:30] vs SSG (원정) @문학
[2026.06.03 17:00] vs SSG (원정) @문학
[2026.06.04 18:30] vs SSG (원정) @문학
[2026.06.05 18:30] vs 두산 (원정) @잠실
[2026.06.06 17:00] vs 두산 (원정) @잠실
[2026.06.07 17:00] vs 두산 (원정) @잠실
[2026.06.09 18:30] vs NC (홈) @고척
[2026.06.10 18:30] vs NC (홈) @고척
[2026.06.11 18:30] vs NC (홈) @고척
[2026.06.12 18:30] vs 한화 (홈) @고척
[2026.06.13 17:00] vs 한화 (홈) @고척
[2026.06.14 14:00] vs 한화 (홈) @고척
[2026.06.16 18:30] vs 삼성 (원정) @대구
[2026.06.17 18:30] vs 삼성 (원정) @대구
[2026.06.18 18:30] vs 삼성 (원정) @대구
[2026.06.19 18:30] vs 롯데 (홈) @고척
[2026.06.20 17:00] vs 롯데 (홈) @고척
[2026.06.21 14:00] vs 롯데 (홈) @고척
[2026.06.23 18:30] vs KIA (홈) @고척
[2026.06.24 18:30] vs KIA (홈) @고척
[2026.06.25 18:30] vs KIA (홈) @고척
[2026.06.26 18:30] vs NC (원정) @창원
[2026.06.27 17:00] vs NC (원정) @창원
[2026.06.28 17:00] vs NC (원정) @창원
[2026.06.30 18:30] vs LG (홈) @고척
[2026.07.01 18:30] vs LG (홈) @고척
[2026.07.02 18:30] vs LG (홈) @고척
[2026.07.03 18:30] vs 두산 (홈) @고척
[2026.07.04 18:00] vs 두산 (홈) @고척
[2026.07.05 14:00] vs 두산 (홈) @고척
[2026.07.07 18:30] vs KT (원정) @수원
[2026.07.08 18:30] vs KT (원정) @수원
[2026.07.09 18:30] vs KT (원정) @수원
[2026.07.16 18:30] vs 한화 (원정) @대전
[2026.07.17 18:30] vs 한화 (원정) @대전
[2026.07.18 18:00] vs 한화 (원정) @대전
[2026.07.19 18:00] vs 한화 (원정) @대전
[2026.07.21 18:30] vs 삼성 (홈) @고척
[2026.07.22 18:30] vs 삼성 (홈) @고척
[2026.07.23 18:30] vs 삼성 (홈) @고척
[2026.07.24 18:30] vs KIA (원정) @광주
[2026.07.25 18:00] vs KIA (원정) @광주
[2026.07.26 18:00] vs KIA (원정) @광주
[2026.07.28 18:30] vs LG (원정) @잠실
[2026.07.29 18:30] vs LG (원정) @잠실
[2026.07.30 18:30] vs LG (원정) @잠실
[2026.07.31 18:30] vs SSG (홈) @고척
[2026.08.01 18:00] vs SSG (홈) @고척
[2026.08.02 14:00] vs SSG (홈) @고척
[2026.08.04 18:30] vs 롯데 (원정) @사직
[2026.08.05 18:30] vs 롯데 (원정) @사직
[2026.08.06 18:30] vs 롯데 (원정) @사직
[2026.08.07 18:30] vs 한화 (원정) @대전
[2026.08.08 18:00] vs 한화 (원정) @대전
[2026.08.09 18:00] vs 한화 (원정) @대전
[2026.08.11 18:30] vs LG (홈) @고척
[2026.08.12 18:30] vs LG (홈) @고척
[2026.08.13 18:30] vs LG (홈) @고척
[2026.08.14 18:30] vs KT (원정) @수원
[2026.08.15 18:00] vs KT (원정) @수원
[2026.08.16 18:00] vs KT (원정) @수원
[2026.08.18 18:30] vs 롯데 (원정) @사직
[2026.08.19 18:30] vs 롯데 (원정) @사직
[2026.08.20 18:30] vs 롯데 (원정) @사직
[2026.08.21 18:30] vs KIA (홈) @고척
[2026.08.22 18:00] vs KIA (홈) @고척
[2026.08.23 14:00] vs KIA (홈) @고척
[2026.08.25 18:30] vs 삼성 (홈) @고척
[2026.08.26 18:30] vs 삼성 (홈) @고척
[2026.08.27 18:30] vs 삼성 (홈) @고척
[2026.08.28 18:30] vs 두산 (원정) @잠실
[2026.08.29 18:00] vs 두산 (원정) @잠실
[2026.08.30 18:00] vs 두산 (원정) @잠실
[2026.09.01 18:30] vs SSG (홈) @고척
[2026.09.02 18:30] vs SSG (홈) @고척
[2026.09.03 18:30] vs SSG (홈) @고척
[2026.09.04 18:30] vs NC (홈) @고척
[2026.09.05 17:00] vs NC (홈) @고척
[2026.09.06 14:00] vs NC (홈) @고척
